namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes
RPTRA PULAU TIDUNG,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,98,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated
RPTRA PLANET SENEN,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,97,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
RPTRA PLANET SENEN,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,97,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
SMP 112 PEJAGALAN,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,96,deprecated,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PEJAGALAN,deprecated
SDN 01 PINANGSIA,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,96,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated
RPTRA PLANET SENEN,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,96,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
SMPN 8 JAKARTA,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,95,deprecated,KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,deprecated
RPTRA PLANET SENEN,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,95,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
RPTRA SUNGAI BAMBU,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,95,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
GOR MANGGA DUA SELATAN,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,94,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated
SDN 01 PINANGSIA,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,94,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated
GOR MANGGA DUA SELATAN,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,94,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated
RPTRA MATAHARI,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,94,deprecated,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,deprecated
RPTRA SUNGAI BAMBU,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,93,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
KANTOR CAMAT CILINCING,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,93,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,93,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
JAKARTA ISLAMIC CENTER,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,93,deprecated,KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,deprecated
PUSKESMAS KECAMATAN SETIABUDI,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,93,deprecated,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GUNTUR,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,93,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
RPTRA MATAHARI,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,93,deprecated,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,92,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
RPTRA SUNGAI BAMBU,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,92,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
GOR MANGGA DUA SELATAN,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,92,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated
RPTRA SUNGAI BAMBU,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,92,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
KANTOR CAMAT CILINCING,2021-07-16T09:00:00,2021-07-16T09:00:00.000Z,7/16/2021,9:00:00,100,92,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
GOR MANGGA DUA SELATAN,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,92,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated
RPTRA MATAHARI,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,92,deprecated,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,92,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,100,92,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
RPTRA SUNGAI BAMBU,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,91,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
PUSKESMAS KECAMATAN SETIABUDI,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GUNTUR,deprecated
GOR MANGGA DUA SELATAN,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,91,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,91,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
RPTRA PLANET SENEN,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
PUSKESMAS KECAMATAN SETIABUDI,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,91,deprecated,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GUNTUR,deprecated
KANTOR CAMAT CILINCING,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,91,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
RPTRA SUNGAI BAMBU,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
GOR MANGGA DUA SELATAN,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,91,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,91,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
SMK 3 KEMAYORAN,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,90,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,90,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
PUSKESMAS KECAMATAN SETIABUDI,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,90,deprecated,KOTA ADM. JAKARTA SELATAN,SETIABUDI,GUNTUR,deprecated
SMPN 2 JAKARTA PUSAT,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,90,deprecated,KOTA ADM. JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,deprecated
JAKARTA ISLAMIC CENTER,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,90,deprecated,KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,90,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
RPTRA PLANET SENEN,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,90,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,90,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
RPTRA SUNGAI BAMBU,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,90,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,100,90,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
SMK 3 KEMAYORAN,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,89,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,deprecated
GELANGGANG REMAJA KECAMATAN KELAPA GADING,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,89,deprecated,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIIMUR,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,89,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,89,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
SMK 3 KEMAYORAN,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,89,deprecated,KOTA ADM. JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,89,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
SDN 01 PINANGSIA,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,89,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated
RPTRA SUNGAI BAMBU,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,88,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated
RUMKITLAP ARTHA GRAHAN PEDULI (AGP) ANCOL,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,100,88,deprecated,KOTA ADM. JAKARTA UTARA,PADEMANGAN,ANCOL,deprecated
GOR MANGGA DUA SELATAN,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,88,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated
AULA PUSKESMAS KECAMATAN TAMBORA,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,88,deprecated,KOTA ADM. JAKARTA BARAT,TAMBORA,KRENDANG,deprecated
KANTOR CAMAT CILINCING,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,88,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated
PUSKESMAS KELURAHAN PETOJO SELATAN,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,88,deprecated,KOTA ADM. JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,deprecated
SDN 01 PINANGSIA,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,88,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated
