,namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes,ADDRESS,location,point,latitude,longitude
28,RPTRA PULAU TIDUNG,2021-07-12T11:00:00,2021-07-12T11:00:00.000Z,7/12/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
29,SDN PULAU KELAPA 01 PAGI,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
30,SDN PULAU KELAPA 01 PAGI,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
31,RPTRA PULAU TIDUNG,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
32,SDN PULAU KELAPA 01 PAGI,2021-07-14T11:00:00,2021-07-14T11:00:00.000Z,7/14/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
33,SDN PULAU KELAPA 01 PAGI,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
34,RPTRA PULAU TIDUNG,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
35,SDN PULAU KELAPA 01 PAGI,2021-07-13T09:00:00,2021-07-13T09:00:00.000Z,7/13/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
36,SDN PULAU KELAPA 01 PAGI,2021-07-14T09:00:00,2021-07-14T09:00:00.000Z,7/14/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
37,RPTRA PULAU TIDUNG,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
